edu,edu_yr,political,property_8,weight_jin,health,health_problem,depression,hukou,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_3,leisure_4,leisure_6,leisure_7,leisure_8,leisure_9,leisure_12,socialize,relax,learn,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,family_income,family_m,family_status,house,car,invest_1,invest_2,s_birth,marital_now,s_edu,s_political,s_hukou,status_peer,status_3_before,view,trust_1,trust_2,trust_5,trust_7,trust_8,trust_10,trust_12,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,income_cut,happiness
11,-2.0,1,0,155,3,2,5,5,4,2,5,5,4,3,1,3,1,3,4,1,4,1,2,4,3,3.0,2,3,3,3,3,1,60000.0,2,2,1,2,1,0,1958.0,1984.0,6.0,1.0,5.0,3,2,4,4,2,5,2,3,3,4,4,50,60,50,50,30.0,30,50,50,50,3,4
12,2013.0,1,0,110,5,4,3,1,2,2,1,3,5,1,2,4,3,4,3,2,3,1,2,4,3,2.0,1,3,6,4,8,5,40000.0,3,4,1,2,1,0,0.0,0.0,0.0,0.0,0.0,1,1,4,5,4,5,3,3,3,3,3,90,70,70,80,85.0,70,90,60,60,3,4
4,-2.0,1,0,122,4,4,5,1,2,2,2,5,1,3,1,4,3,4,4,2,3,5,3,4,2,5.0,2,4,5,4,6,3,8000.0,3,3,1,2,1,0,1968.0,1990.0,3.0,1.0,1.0,2,1,4,3,3,4,3,3,3,3,4,90,80,75,79,80.0,90,90,90,75,2,4
3,1959.0,1,0,170,4,4,4,1,2,1,1,5,1,1,1,2,4,4,5,1,1,5,2,4,4,6.0,1,4,5,5,7,2,12000.0,3,3,1,1,1,0,0.0,0.0,0.0,0.0,0.0,2,1,3,3,3,5,3,5,3,3,3,100,90,70,80,80.0,90,90,80,80,2,5
12,2014.0,2,0,110,5,5,3,2,1,3,4,2,5,5,3,3,2,4,3,5,2,1,4,3,4,5.0,3,2,1,1,1,4,-2.0,4,3,1,1,1,0,0.0,0.0,0.0,0.0,0.0,3,2,3,4,3,5,3,4,3,3,2,50,50,50,50,50.0,50,50,50,50,0,4
2,-2.0,1,0,140,5,5,4,1,1,1,4,4,1,1,1,4,5,4,4,4,3,5,3,3,2,4.0,1,4,8,1,8,1,5000.0,2,3,1,2,1,0,1949.0,1988.0,1.0,1.0,1.0,3,1,4,4,3,5,3,3,3,3,4,90,90,90,90,90.0,90,80,90,90,2,5
4,1979.0,4,0,120,2,2,2,2,2,2,2,5,1,2,1,5,5,4,4,4,4,5,1,3,1,8.0,1,4,2,2,3,2,-3.0,3,2,1,2,1,0,1963.0,1987.0,4.0,1.0,2.0,3,2,4,4,3,4,3,3,3,3,4,80,80,50,70,60.0,50,60,80,80,0,4
4,-2.0,1,0,140,3,5,5,2,3,1,3,4,1,1,1,5,3,4,4,5,4,5,3,3,3,3.0,1,4,2,1,2,1,-1.0,2,3,1,2,1,0,1959.0,1979.0,4.0,1.0,2.0,2,2,4,5,5,5,5,5,5,5,4,70,70,70,70,70.0,70,80,70,70,0,4
3,1964.0,1,0,95,2,2,2,1,1,1,1,3,1,1,2,4,5,4,4,5,4,5,2,2,1,6.0,2,4,3,3,5,2,1600.0,1,2,1,2,1,0,0.0,0.0,0.0,0.0,0.0,3,2,3,3,2,5,5,2,4,4,5,82,70,60,82,84.0,85,86,87,85,2,4
3,-2.0,1,0,140,4,5,4,1,1,1,1,4,4,1,1,3,5,3,4,5,5,1,3,3,2,5.0,6,4,5,5,6,3,60000.0,5,3,1,1,1,0,1991.0,2011.0,7.0,1.0,1.0,2,2,3,4,3,3,3,4,3,3,5,60,60,60,60,60.0,60,60,60,60,5,4
6,2008.0,1,0,100,4,4,5,1,2,1,1,5,5,1,1,3,4,4,3,3,4,1,3,3,1,3.0,2,4,4,3,4,3,60000.0,5,3,1,2,1,0,1989.0,2014.0,5.0,1.0,1.0,2,2,4,3,4,4,3,4,5,4,4,78,80,80,80,80.0,79,81,80,80,6,4
1,-2.0,1,0,120,4,2,2,1,1,1,5,5,1,2,1,2,5,5,5,5,5,5,4,4,1,5.0,1,2,6,6,7,5,16500.0,3,3,3,2,1,0,1970.0,1990.0,1.0,1.0,1.0,3,1,4,5,5,5,3,3,3,3,5,100,20,60,70,60.0,80,62,52,75,2,4
10,1984.0,4,0,120,4,5,4,2,4,3,2,4,4,1,1,4,1,4,4,3,1,1,2,3,3,5.0,1,3,4,4,5,4,36000.0,2,2,1,2,1,0,1967.0,1990.0,7.0,1.0,2.0,2,1,5,2,3,4,2,3,4,-8,4,80,80,70,70,70.0,70,70,70,60,4,4
3,-2.0,1,0,115,1,1,1,5,1,1,1,2,1,1,4,5,5,5,5,5,5,5,1,2,1,8.0,1,3,1,7,1,4,90000.0,2,3,1,2,1,0,1940.0,1957.0,4.0,4.0,5.0,2,3,3,2,2,4,4,4,4,5,3,80,70,70,65,70.0,60,80,80,70,5,2
