happiness,survey_type,province,city,county,gender,birth,nationality,religion,religion_freq,edu,edu_status,edu_yr,income,political,floor_area,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,work_status,work_yr,work_type,work_manage,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,son,daughter,minor_child,marital,marital_1st,s_birth,marital_now,s_edu,s_political,s_hukou,s_income,s_work_exper,s_work_status,s_work_type,f_birth,f_edu,f_political,f_work_14,m_birth,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_11,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,weekday,year,quarter,hour,month,hour_cut,birth_s,income_cut,properties,insurs,invests
4,2,2,5,12,2,1977,8,1,1,3,2.0,-2.0,1500,1,100.0,0,0,1,0,0,0,0,0,0,163,116,4,4,4,1,1.0,1,1,1,2,1,1,1,5,3,5,5,2,2,5,5,5,5,5,5,1,1,1.0,1.0,3,4,4,3,5,3,3,0.0,0.0,0.0,0.0,1,1,2,2,3500.0,4,2,1,2,0,1,0,0,0,0,0,0,0,2,0,2.0,3,-2.0,1970.0,-2.0,3.0,1.0,1.0,2000.0,3.0,0.0,0.0,-2,1,1,2,-2,1,1,2,3,1,3,-8,-2.0,4,4,4,4,4,-8,2,-8,-8,4,-8,-8,1,5,90,75,85,80,75.0,80,80,-2,-2,6,2015,3,12,8,3,5,2,4,13,1
5,2,9,23,45,1,1958,1,1,3,3,4.0,1970.0,10000,1,120.0,0,1,0,0,0,0,0,0,0,170,120,4,3,4,1,1.0,1,1,1,4,1,1,1,5,4,5,5,3,3,5,3,5,5,5,4,3,1,3.0,4.0,6,4,5,2,6,2,2,0.0,0.0,0.0,0.0,1,1,2,2,30000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,1,1,0.0,3,1984.0,1960.0,1984.0,3.0,1.0,1.0,9000.0,3.0,0.0,0.0,-2,1,1,2,-2,1,1,2,2,2,5,2,20000.0,4,4,4,4,5,3,3,-8,4,-8,4,-8,4,5,95,95,90,90,90.0,95,90,90,95,5,2015,3,10,7,2,3,2,1,13,1
4,1,11,31,54,1,1987,1,1,4,12,4.0,2010.0,30000,4,95.0,0,1,0,0,0,0,0,0,0,175,140,5,4,4,2,1.0,2,2,1,4,4,4,1,2,2,2,2,3,2,2,2,3,5,1,3,3,3,2.0,3.0,3,2,6,4,7,3,1,3.0,5.0,1.0,3.0,1,1,2,2,60000.0,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0,3,2014.0,1988.0,2014.0,12.0,4.0,2.0,30000.0,1.0,3.0,1.0,1957,5,4,1,1960,7,1,1,2,2,4,2,100000.0,2,3,2,2,3,2,2,3,3,2,2,2,2,2,82,85,99,70,50.0,55,75,86,90,5,2015,3,16,7,4,6,4,1,13,1
1,2,31,88,133,2,1987,1,1,1,12,4.0,2009.0,15000,1,76.0,0,0,0,0,1,0,0,0,0,170,115,4,5,4,1,3.0,1,1,1,1,5,1,5,4,4,5,5,4,4,5,5,5,5,1,3,3,3,4.0,3.0,1,2,5,5,5,5,5,0.0,0.0,0.0,0.0,1,2,1,2,30000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,1,0,1.0,3,2012.0,1985.0,2012.0,13.0,2.0,2.0,15000.0,1.0,1.0,1.0,1954,4,4,2,1954,3,1,2,2,2,3,2,100000.0,5,5,3,3,4,4,3,4,2,3,3,3,1,5,100,80,100,80,80.0,80,100,100,80,1,2015,3,9,8,2,6,3,16,10,1
4,1,28,81,123,1,1939,1,1,1,2,5.0,-2.0,13200,1,90.0,0,1,0,0,0,0,0,0,0,166,120,3,3,3,1,1.0,1,1,1,5,1,1,1,5,3,5,5,5,5,5,5,5,5,5,1,4,1,8.0,8.0,2,5,5,5,5,5,4,0.0,0.0,0.0,0.0,1,2,2,2,25320.0,2,3,1,2,0,1,0,0,0,0,0,0,0,2,2,0.0,3,1957.0,1942.0,1957.0,1.0,1.0,1.0,12100.0,4.0,0.0,0.0,1896,1,1,2,1897,1,1,2,3,2,5,2,16000.0,5,4,4,4,5,4,4,5,3,4,3,3,1,2,80,50,80,80,80.0,100,100,80,95,2,2015,3,13,7,3,1,3,1,14,1
4,2,17,49,82,1,1972,1,1,1,4,2.0,-2.0,24000,1,100.0,0,0,0,0,1,0,0,0,0,170,176,5,5,4,1,1.0,1,1,1,3,1,4,2,5,4,4,5,4,4,5,5,5,5,4,2,3,2,5.0,5.0,1,4,3,3,4,5,1,3.0,8.0,1.0,3.0,1,1,2,2,36000.0,4,3,1,2,0,1,0,0,0,0,0,0,0,0,2,2.0,3,1989.0,1975.0,1989.0,-8.0,1.0,1.0,12000.0,1.0,3.0,1.0,-2,6,1,4,-2,1,1,2,2,3,-8,2,60000.0,2,5,5,3,3,3,2,-8,3,2,-8,3,1,4,60,60,60,60,60.0,60,70,70,60,4,2015,3,20,7,5,5,6,16,13,1
5,2,5,8,24,1,1971,1,1,1,6,4.0,1990.0,50000,1,114.0,0,1,0,0,0,0,0,0,0,168,130,4,4,4,1,1.0,3,3,3,4,4,3,1,4,4,4,5,5,2,2,4,4,4,1,4,3,2,1.0,1.0,1,4,3,3,3,3,3,0.0,0.0,0.0,0.0,1,2,2,2,50000.0,3,4,1,2,0,1,0,0,0,0,0,0,0,1,0,0.0,3,1994.0,1972.0,1994.0,3.0,1.0,1.0,0.0,6.0,0.0,0.0,1950,3,1,2,1950,3,1,2,2,2,3,2,10000.0,4,3,3,3,3,3,3,4,3,3,-8,-8,4,3,60,40,100,70,80.0,50,50,80,70,3,2015,3,10,8,2,5,5,1,14,1
3,1,16,46,77,2,1968,1,1,1,4,4.0,1984.0,0,1,120.0,0,0,1,0,0,0,0,0,0,168,135,3,4,3,1,2.0,3,2,3,4,4,4,1,3,2,2,2,3,2,1,2,3,3,2,3,3,3,3.0,2.0,1,2,5,4,6,4,5,0.0,0.0,0.0,0.0,1,1,2,1,80000.0,3,3,1,2,0,1,0,0,0,0,0,0,0,0,1,0.0,3,1992.0,1968.0,1992.0,6.0,1.0,1.0,80000.0,1.0,3.0,1.0,1945,3,1,2,1947,3,1,2,2,2,3,-8,500000.0,4,4,4,4,5,5,3,3,3,3,3,4,1,4,80,70,60,70,60.0,70,60,70,60,5,2015,3,11,7,2,4,1,4,4,1
4,1,22,67,107,2,1983,1,1,1,12,4.0,2005.0,40000,1,120.0,0,1,0,0,0,0,0,0,0,165,120,4,-8,4,5,1.0,1,2,1,3,5,1,1,3,3,5,5,4,3,2,1,5,5,1,3,5,3,4.0,3.0,3,3,5,4,5,4,1,3.0,10.0,1.0,4.0,1,1,2,2,80000.0,3,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1.0,3,2006.0,1980.0,2006.0,12.0,1.0,5.0,40000.0,1.0,3.0,1.0,1960,7,4,1,1963,7,4,1,2,1,4,2,60000.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,80,80,80,80,80.0,80,80,80,80,2,2015,3,19,7,5,6,5,1,13,1
4,2,9,22,44,2,1972,1,1,1,4,4.0,1987.0,10000,1,85.0,0,0,0,0,0,0,0,1,0,163,133,3,3,4,2,1.0,1,1,1,4,1,1,5,5,2,5,5,5,5,5,5,5,5,5,3,4,1,7.0,3.0,1,4,5,3,7,5,4,0.0,0.0,0.0,0.0,1,1,2,2,20000.0,3,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0.0,3,1996.0,1973.0,1973.0,7.0,1.0,1.0,20000.0,1.0,3.0,1.0,1945,3,4,1,-2,-8,1,16,2,2,4,-8,30000.0,5,3,4,4,5,-8,4,-8,-8,-8,-8,-8,3,3,80,50,50,70,70.0,90,80,80,80,5,2015,3,16,7,4,5,2,49,13,1
3,2,6,13,29,1,1946,1,1,3,1,5.0,-2.0,8000,1,60.0,0,1,0,0,0,0,0,0,0,165,110,2,3,2,1,1.0,2,2,1,3,1,1,2,5,3,5,5,4,4,4,4,5,5,5,3,3,2,3.0,3.0,2,4,1,1,1,1,4,0.0,0.0,0.0,0.0,1,1,2,2,8000.0,1,3,1,2,0,1,0,0,0,0,0,0,0,2,0,0.0,7,1969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,1,1,2,-2,1,1,2,2,2,3,2,12000.0,4,4,4,4,4,4,4,3,4,4,4,3,3,3,80,80,70,70,65.0,70,70,80,80,3,2015,3,13,8,3,2,2,1,13,1
4,2,10,27,50,1,1994,1,1,1,4,4.0,2009.0,30000,1,120.0,0,0,0,0,1,0,0,0,0,176,130,4,4,4,1,1.0,1,2,1,3,4,1,3,5,4,4,4,4,4,3,5,5,5,2,1,2,2,8.0,8.0,1,3,4,3,6,3,5,0.0,0.0,0.0,0.0,1,2,2,2,60000.0,4,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968,4,1,2,1970,3,1,2,2,1,4,2,60000.0,4,4,4,4,5,4,4,5,4,4,-8,4,4,3,80,70,80,90,60.0,80,80,70,80,3,2015,3,14,7,4,7,4,16,14,1
3,1,24,71,111,2,1955,1,0,7,1,5.0,-2.0,12000,1,250.0,0,0,1,0,0,0,0,0,0,160,110,4,5,3,5,1.0,1,1,3,5,1,1,1,5,2,5,4,2,2,5,4,5,2,5,5,5,1,1.0,2.0,1,3,3,5,3,5,5,0.0,0.0,0.0,0.0,1,1,2,2,25000.0,3,2,1,2,0,1,0,0,0,0,0,0,0,1,1,0.0,3,1979.0,1954.0,1979.0,7.0,1.0,5.0,13000.0,5.0,0.0,0.0,1930,3,1,9,1935,1,1,16,2,2,4,2,20000.0,5,4,-8,-8,5,5,3,5,5,4,5,5,3,5,80,60,70,90,90.0,70,60,50,70,3,2015,3,15,7,4,3,3,4,13,1
4,2,29,84,127,2,1962,1,1,1,4,4.0,1978.0,25000,1,160.0,0,1,0,0,0,0,0,0,0,170,130,4,5,5,1,1.0,2,2,1,5,1,1,1,5,2,4,5,5,4,1,5,5,3,5,4,3,2,3.0,7.0,1,5,4,2,6,1,3,0.0,0.0,0.0,0.0,1,1,1,1,100000.0,2,3,2,2,0,1,0,0,0,0,0,0,0,1,2,0.0,3,1984.0,1964.0,1984.0,4.0,4.0,1.0,25000.0,2.0,0.0,0.0,1941,1,1,2,1942,1,1,2,2,1,5,2,50000.0,5,5,5,5,5,3,2,2,-8,4,-8,4,2,3,80,80,80,80,80.0,80,40,80,50,5,2015,3,7,7,1,4,4,1,0,1
3,2,28,81,121,2,1973,1,1,1,3,2.0,-2.0,10000,1,200.0,0,0,1,0,0,0,0,0,0,160,130,3,3,3,1,1.0,2,1,1,3,1,1,2,5,2,5,5,4,4,5,5,5,5,5,2,3,1,2.0,2.0,2,3,2,1,3,1,3,0.0,0.0,0.0,0.0,1,2,2,2,30000.0,6,2,1,2,0,1,0,0,0,0,0,0,0,1,2,3.0,3,1989.0,1973.0,1989.0,3.0,1.0,1.0,10000.0,3.0,0.0,0.0,-2,-8,-8,-8,-2,-8,-8,-8,3,1,3,3,30000.0,5,4,4,3,5,4,3,5,2,-8,-8,-8,1,4,70,60,-2,-2,70.0,-2,75,60,60,3,2015,3,10,7,2,5,2,4,14,1
5,1,6,15,31,2,1938,1,1,1,3,2.0,-2.0,12000,1,75.0,0,1,1,0,0,0,0,0,0,140,80,3,3,4,1,1.0,1,1,1,2,1,1,3,4,2,4,4,3,5,5,5,5,5,5,3,4,1,2.0,3.0,2,3,7,4,7,4,4,0.0,0.0,0.0,0.0,1,2,1,2,48000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,1,3,0.0,3,1960.0,1932.0,1960.0,4.0,1.0,1.0,24000.0,4.0,0.0,0.0,-2,1,1,2,-2,1,1,2,2,1,3,2,4000.0,5,4,5,4,5,-8,1,-8,-8,-8,-8,-8,1,4,88,99,78,86,89.0,90,89,85,78,6,2015,3,13,8,3,1,3,5,10,1
